ticker,name,sector,asset_class,weight,isin
GILD,GILEAD SCIENCES INC,Health Care,Equity,0.74754,US3755581036
GOOG,ALPHABET INC CLASS C,Communication,Equity,3.13872,US02079K1079
GOOGL,ALPHABET INC CLASS A,Communication,Equity,3.35635,US02079K3059
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,0.32679,US4385162056
HONA,HONEYWELL AEROSPACE INC,Industrials,Equity,0.29253,US43849R1059
IDXX,IDEXX LABORATORIES INC,Health Care,Equity,0.20316,US45168D1046
INTC,INTEL CORPORATION,Information Technology,Equity,2.20492,US4581401001
INTU,INTUIT INC,Information Technology,Equity,0.36328,US4612021034
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,0.56537,US46120E6023
KDP,KEURIG DR PEPPER INC,Consumer Staples,Equity,0.1859,US49271V1008
KHC,KRAFT HEINZ,Consumer Staples,Equity,0.13821,US5007541064
KLAC,KLA CORP,Information Technology,Equity,1.22571,US4824801009
LIN,LINDE PLC,Materials,Equity,1.07008,IE000S9YS762
LITE,LUMENTUM HOLDINGS INC,Information Technology,Equity,0.26853,US55024U1097
LRCX,LAM RESEARCH CORP,Information Technology,Equity,1.73397,US5128073062
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,0.43734,US5719032022
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,0.19628,US5950171042
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,0.34777,US6092071058
MELI,MERCADOLIBRE INC,Consumer Discretionary,Equity,0.41915,US58733R1023
META,META PLATFORMS INC CLASS A,Communication,Equity,3.13138,US30303M1027
MLIFT,CASH COLLATERAL USD MLIFT,Cash and/or Derivatives,Cash Collateral and Margins,0.00822,-
MNST,MONSTER BEVERAGE CORP,Consumer Staples,Equity,0.42193,US61174X1090
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,0.29318,US6098391054
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity,0.77078,US5738741041
MSFT,MICROSOFT CORP,Information Technology,Equity,4.89272,US5949181045
MSTR,STRATEGY INC CLASS A,Information Technology,Equity,0.14879,US5949724083
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,4.41148,US5951121038
NBIS,NEBIUS NV CLASS A,Information Technology,Equity,0.18076,NL0009805522
NFLX,NETFLIX INC,Communication,Equity,1.28659,US64110L1061
NQU6,NASDAQ 100 E-MINI SEP 26,Cash and/or Derivatives,Futures,0.0,-
NVDA,NVIDIA CORP,Information Technology,Equity,8.05424,US67066G1040
NXPI,NXP SEMICONDUCTORS NV,Information Technology,Equity,0.30827,NL0009538784
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,Equity,0.21805,US6795801009
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,0.31662,US67103H1077
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,1.28594,US6974351057
PAYX,PAYCHEX INC,Industrials,Equity,0.18569,US7043261079
PCAR,PACCAR INC,Industrials,Equity,0.29321,US6937181088
PDD,PDD HOLDINGS ADS INC,Consumer Discretionary,Equity,0.26206,US7223041028
PEP,PEPSICO INC,Consumer Staples,Equity,0.83682,US7134481081
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,1.39948,US69608A1088
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,0.22407,US70450Y1038
QCOM,QUALCOMM INC,Information Technology,Equity,0.8114,US7475251036
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,0.31302,US75886F1075
RKLB,ROCKET LAB CORP,Industrials,Equity,0.1716,US7731211089
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity,0.16324,US7766961061
ROST,ROSS STORES INC,Consumer Discretionary,Equity,0.34331,US7782961038
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,0.53991,US8552441094
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,0.68618,CA82509L1076
SNDK,SANDISK CORP,Information Technology,Equity,0.93111,US80004C2008
SNPS,SYNOPSYS INC,Information Technology,Equity,0.32752,US8716071076
SPCX,SPACE EXPLORATION TECHNOLOGIES COR,Communication,Equity,1.03828,US84615Q1031
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Information Technology,Equity,0.81328,IE00BKVD2N49
TER,TERADYNE INC,Information Technology,Equity,0.23566,US8807701029
TMUS,T MOBILE US INC,Communication,Equity,0.95697,US8725901040
TRI,THOMSON REUTERS CORP,Industrials,Equity,0.16759,CA8849038812
TSLA,TESLA INC,Consumer Discretionary,Equity,3.02262,US88160R1014
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,Equity,0.19934,US8740541094
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,1.16854,US8825081040
USD,USD CASH,Cash and/or Derivatives,Cash,0.12589,-
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,0.55123,US92532F1003
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity,0.29304,US9344231041
WDAY,WORKDAY INC CLASS A,Information Technology,Equity,0.13608,US98138H1014
WDC,WESTERN DIGITAL CORP,Information Technology,Equity,0.75939,US9581021055
WMT,WALMART INC,Consumer Staples,Equity,2.4739,US9311421039
XEL,XCEL ENERGY INC,Utilities,Equity,0.21984,US98389B1008
