ticker,name,sector,asset_class,weight,isin
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,0.24926,US25278X1090
FAST,FASTENAL,Industrials,Equity,0.23054,US3119001044
FER,FERROVIAL NV,Industrials,Equity,0.20324,NL0015001FS8
FTNT,FORTINET INC,Information Technology,Equity,0.51367,US34959E1091
GBP,GBP CASH,Cash and/or Derivatives,Cash,0.00219,-
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,Equity,0.1229,US36266G1076
GILD,GILEAD SCIENCES INC,Health Care,Equity,0.71731,US3755581036
GOOG,ALPHABET INC CLASS C,Communication,Equity,3.03412,US02079K1079
GOOGL,ALPHABET INC CLASS A,Communication,Equity,3.24775,US02079K3059
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,0.32584,US4385162056
HONA,HONEYWELL AEROSPACE INC,Industrials,Equity,0.28371,US43849R1059
IDXX,IDEXX LABORATORIES INC,Health Care,Equity,0.19531,US45168D1046
INTC,INTEL CORPORATION,Information Technology,Equity,2.35033,US4581401001
INTU,INTUIT INC,Information Technology,Equity,0.3517,US4612021034
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,0.54982,US46120E6023
KDP,KEURIG DR PEPPER INC,Consumer Staples,Equity,0.18102,US49271V1008
KHC,KRAFT HEINZ,Consumer Staples,Equity,0.13523,US5007541064
KLAC,KLA CORP,Information Technology,Equity,1.26028,US4824801009
LIN,LINDE PLC,Materials,Equity,1.0355,IE000S9YS762
LITE,LUMENTUM HOLDINGS INC,Information Technology,Equity,0.28824,US55024U1097
LRCX,LAM RESEARCH CORP,Information Technology,Equity,1.78578,US5128073062
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,0.43012,US5719032022
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,0.19944,US5950171042
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,0.33889,US6092071058
MELI,MERCADOLIBRE INC,Consumer Discretionary,Equity,0.40905,US58733R1023
META,META PLATFORMS INC CLASS A,Communication,Equity,3.06261,US30303M1027
MLIFT,CASH COLLATERAL USD MLIFT,Cash and/or Derivatives,Cash Collateral and Margins,0.00804,-
MNST,MONSTER BEVERAGE CORP,Consumer Staples,Equity,0.40968,US61174X1090
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,0.29944,US6098391054
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity,0.80675,US5738741041
MSFT,MICROSOFT CORP,Information Technology,Equity,4.74625,US5949181045
MSTR,STRATEGY INC CLASS A,Information Technology,Equity,0.15215,US5949724083
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,4.85518,US5951121038
NBIS,NEBIUS NV CLASS A,Information Technology,Equity,0.21065,NL0009805522
NFLX,NETFLIX INC,Communication,Equity,1.2823,US64110L1061
NQU6,NASDAQ 100 E-MINI SEP 26,Cash and/or Derivatives,Futures,0.0,-
NVDA,NVIDIA CORP,Information Technology,Equity,8.05819,US67066G1040
NXPI,NXP SEMICONDUCTORS NV,Information Technology,Equity,0.30921,NL0009538784
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,Equity,0.21673,US6795801009
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,0.32329,US67103H1077
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,1.23813,US6974351057
PAYX,PAYCHEX INC,Industrials,Equity,0.17706,US7043261079
PCAR,PACCAR INC,Industrials,Equity,0.29212,US6937181088
PDD,PDD HOLDINGS ADS INC,Consumer Discretionary,Equity,0.25347,US7223041028
PEP,PEPSICO INC,Consumer Staples,Equity,0.81825,US7134481081
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,1.35079,US69608A1088
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,0.21609,US70450Y1038
QCOM,QUALCOMM INC,Information Technology,Equity,0.81096,US7475251036
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,0.3085,US75886F1075
RKLB,ROCKET LAB CORP,Industrials,Equity,0.17702,US7731211089
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity,0.1548,US7766961061
ROST,ROSS STORES INC,Consumer Discretionary,Equity,0.33688,US7782961038
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,0.5279,US8552441094
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,0.6654,CA82509L1076
SNDK,SANDISK CORP,Information Technology,Equity,1.04388,US80004C2008
SNPS,SYNOPSYS INC,Information Technology,Equity,0.33035,US8716071076
SPCX,SPACE EXPLORATION TECHNOLOGIES COR,Communication,Equity,1.05006,US84615Q1031
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Information Technology,Equity,0.88682,IE00BKVD2N49
TER,TERADYNE INC,Information Technology,Equity,0.25912,US8807701029
TMUS,T MOBILE US INC,Communication,Equity,0.91554,US8725901040
TRI,THOMSON REUTERS CORP,Industrials,Equity,0.15628,CA8849038812
TSLA,TESLA INC,Consumer Discretionary,Equity,3.04072,US88160R1014
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,Equity,0.19309,US8740541094
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,1.17568,US8825081040
USD,USD CASH,Cash and/or Derivatives,Cash,0.1233,-
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,0.54252,US92532F1003
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity,0.28718,US9344231041
WDAY,WORKDAY INC CLASS A,Information Technology,Equity,0.12802,US98138H1014
WDC,WESTERN DIGITAL CORP,Information Technology,Equity,0.83826,US9581021055
WMT,WALMART INC,Consumer Staples,Equity,2.38808,US9311421039
XEL,XCEL ENERGY INC,Utilities,Equity,0.21584,US98389B1008
