ticker,name,sector,weight,ISIN
PYPL,PAYPAL HOLDINGS INC,Financials,0.23,US70450Y1038
QCOM,QUALCOMM INC,Information Technology,0.71,US7475251036
REGN,REGENERON PHARMACEUTICALS INC,Health Care,0.36,US75886F1075
RKLB,ROCKET LAB CORP,Industrials,0.17,US7731211089
ROP,ROPER TECHNOLOGIES INC,Information Technology,0.18,US7766961061
ROST,ROSS STORES INC,Consumer Discretionary,0.37,US7782961038
SBUX,STARBUCKS CORP,Consumer Discretionary,0.55,US8552441094
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,0.65,CA82509L1076
SNDK,SANDISK CORP,Information Technology,0.82,US80004C2008
SNPS,SYNOPSYS INC,Information Technology,0.34,US8716071076
SPCX,SPACE EXPLORATION TECHNOLOGIES COR,Communication,0.95,US84615Q1031
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Information Technology,0.88,IE00BKVD2N49
TER,TERADYNE INC,Information Technology,0.26,US8807701029
TMUS,T MOBILE US INC,Communication,0.85,US8725901040
TRI,THOMSON REUTERS CORP,Industrials,0.17,CA8849038812
TSLA,TESLA INC,Consumer Discretionary,2.57,US88160R1014
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,0.20,US8740541094
TXN,TEXAS INSTRUMENT INC,Information Technology,1.15,US8825081040
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,0.55,US92532F1003
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,0.30,US9344231041
WDAY,WORKDAY INC CLASS A,Information Technology,0.15,US98138H1014
WDC,WESTERN DIGITAL CORP,Information Technology,0.86,US9581021055
WMT,WALMART INC,Consumer Staples,2.48,US9311421039
XEL,XCEL ENERGY INC,Utilities,0.22,US98389B1008
